start;(1,0,0,mazda,stig,all-terrain,50,100%,);(n.a.)
77;(1,0,0,mazda,crash,all-terrain,50,100%,);(A4:all-terrain)
78;(1,0,0,humvee,stig,all-terrain,50,100%,);(A7:humvee:stig)
79;(1,0,0,ferarri,schumacher,all-terrain,50,100%,);(A7:ferarri:schumacher)
80;(1,0,0,ferarri,stig,all-terrain,50,100%,);(A3:stig)
81;(1,0,0,toyota,stig,all-terrain,50,100%,);(A2:toyota)
82;(1,0,0,mazda,crash,all-terrain,50,100%,);(A7:mazda:crash)
83;(1,0,0,humvee,mushroom,all-terrain,50,100%,);(A7:humvee:mushroom)
84;(1,0,0,humvee,mushroom,performance,50,100%,);(A4:performance)
85;(1,1,0,humvee,mushroom,performance,49,100%,);(A1)
88;(1,0,0,humvee,mushroom,performance,49,50%,);(A6:50%)
89;(1,0,0,humvee,mushroom,performance,46,50%,);(A1)
90;(1,0,0,humvee,mushroom,performance,43,50%,);(A1)
Computer says no. Max steps reached: max steps = 90
