start;(1,0,0,mazda,stig,all-terrain,50,100%,);(n.a.)
0;(1,0,0,mazda,stig,all-terrain,47,100%,);(A1)
1;(1,0,0,mazda,stig,all-terrain,44,100%,);(A1)
2;(1,0,0,mazda,stig,all-terrain,41,100%,);(A1)
3;(1,0,1,mazda,stig,all-terrain,38,100%,);(A1)
5;(1,1,0,mazda,stig,all-terrain,35,100%,);(A1)
6;(1,0,0,mazda,stig,all-terrain,32,100%,);(A1)
7;(1,1,0,mazda,stig,all-terrain,29,100%,);(A1)
8;(1,0,0,mazda,stig,all-terrain,26,100%,);(A1)
9;(1,0,0,mazda,stig,all-terrain,23,100%,);(A1)
10;(1,1,0,mazda,stig,all-terrain,20,100%,);(A1)
11;(1,1,0,mazda,stig,all-terrain,17,100%,);(A1)
12;(1,0,1,mazda,stig,all-terrain,14,100%,);(A1)
14;(1,1,0,mazda,stig,all-terrain,11,100%,);(A1)
15;(1,0,0,mazda,stig,all-terrain,8,100%,);(A1)
16;(1,0,0,mazda,stig,all-terrain,5,100%,);(A1)
17;(1,1,0,mazda,stig,all-terrain,2,100%,);(A1)
18;(1,0,0,mazda,stig,mud,2,100%,);(A4:mud)
19;(1,0,0,go-kart,mushroom,mud,50,100%,);(A7:go-kart:mushroom)
20;(1,0,0,go-kart,mushroom,mud,47,100%,);(A1)
21;(1,1,0,go-kart,mushroom,mud,44,100%,);(A1)
22;(1,1,0,go-kart,mushroom,mud,41,100%,);(A1)
23;(1,1,0,go-kart,mushroom,mud,38,100%,);(A1)
24;(1,1,0,go-kart,mushroom,mud,35,100%,);(A1)
25;(1,1,0,go-kart,mushroom,mud,32,100%,);(A1)
26;(1,1,0,go-kart,mushroom,mud,29,100%,);(A1)
27;(1,1,0,go-kart,mushroom,mud,26,100%,);(A1)
28;(1,1,0,go-kart,mushroom,mud,23,100%,);(A1)
29;(1,1,0,go-kart,mushroom,mud,20,100%,);(A1)
30;(1,1,0,go-kart,mushroom,mud,17,100%,);(A1)
31;(1,1,0,go-kart,mushroom,mud,14,100%,);(A1)
32;(1,1,0,go-kart,mushroom,mud,11,100%,);(A1)
33;(1,1,0,go-kart,mushroom,mud,8,100%,);(A1)
34;(1,1,0,go-kart,mushroom,mud,5,100%,);(A1)
35;(1,1,0,go-kart,mushroom,mud,2,100%,);(A1)
36;(1,0,0,ferarri,stig,mud,50,100%,);(A7:ferarri:stig)
37;(1,0,0,ferarri,stig,mud,48,100%,);(A1)
38;(1,0,0,ferarri,stig,mud,46,100%,);(A1)
39;(1,1,0,ferarri,stig,mud,44,100%,);(A1)
40;(1,1,0,ferarri,stig,mud,42,100%,);(A1)
41;(1,1,0,ferarri,stig,mud,40,100%,);(A1)
42;(1,1,0,ferarri,stig,mud,38,100%,);(A1)
43;(5,0,0,ferarri,stig,mud,36,100%,);(A1)
44;(9,0,0,ferarri,stig,mud,33,100%,);(A1)
45;(5,0,0,ferarri,stig,mud,29,100%,);(A1)
46;(5,1,0,ferarri,stig,mud,26,100%,);(A1)
47;(9,0,0,ferarri,stig,mud,23,100%,);(A1)
48;(9,1,0,ferarri,stig,mud,19,100%,);(A1)
49;(13,0,0,ferarri,stig,mud,15,100%,);(A1)
50;(13,1,0,ferarri,stig,mud,13,100%,);(A1)
51;(13,1,0,ferarri,stig,mud,11,100%,);(A1)
52;(13,1,0,ferarri,stig,mud,9,100%,);(A1)
53;(13,1,0,ferarri,stig,mud,7,100%,);(A1)
54;(13,1,0,ferarri,stig,mud,5,100%,);(A1)
55;(13,1,0,ferarri,stig,mud,3,100%,);(A1)
56;(13,1,0,ferarri,stig,mud,1,100%,);(A1)
57;(13,0,0,humvee,schumacher,mud,50,100%,);(A7:humvee:schumacher)
58;(12,0,0,humvee,schumacher,mud,49,100%,);(A1)
59;(10,0,0,humvee,schumacher,mud,48,100%,);(A1)
60;(10,1,0,humvee,schumacher,mud,47,100%,);(A1)
61;(14,0,0,humvee,schumacher,mud,46,100%,);(A1)
62;(18,0,0,humvee,schumacher,mud,45,100%,);(A1)
63;(18,1,0,humvee,schumacher,mud,44,100%,);(A1)
64;(18,1,0,humvee,schumacher,mud,43,100%,);(A1)
65;(18,1,0,humvee,schumacher,mud,42,100%,);(A1)
66;(18,1,0,humvee,schumacher,mud,41,100%,);(A1)
67;(18,1,0,humvee,schumacher,mud,40,100%,);(A1)
68;(18,1,0,humvee,schumacher,mud,39,100%,);(A1)
69;(17,0,0,humvee,schumacher,mud,38,100%,);(A1)
70;(21,0,0,humvee,schumacher,mud,37,100%,);(A1)
71;(25,0,0,humvee,schumacher,mud,36,100%,);(A1)
72;(29,0,0,humvee,schumacher,mud,32,100%,);(A1)
73;(27,0,0,humvee,schumacher,mud,29,100%,);(A1)
74;(30,0,0,humvee,schumacher,mud,28,100%,);(A1)
Goal reached, you bloody ripper!
