start;(1,0,0,mazda,stig,all-terrain,50,100%,);(n.a.)
0;(1,0,1,mazda,stig,all-terrain,47,100%,);(A1)
2;(2,0,0,mazda,stig,all-terrain,44,100%,);(A1)
3;(1,0,0,mazda,stig,all-terrain,43,100%,);(A1)
4;(1,0,0,mazda,stig,all-terrain,40,100%,);(A1)
5;(2,0,0,mazda,stig,all-terrain,37,100%,);(A1)
6;(6,0,0,mazda,stig,all-terrain,36,100%,);(A1)
7;(6,0,1,mazda,stig,all-terrain,35,100%,);(A1)
9;(6,0,1,mazda,stig,all-terrain,34,100%,);(A1)
11;(5,0,0,mazda,stig,all-terrain,33,100%,);(A1)
12;(7,0,0,mazda,stig,all-terrain,32,100%,);(A1)
13;(11,0,0,mazda,stig,all-terrain,31,100%,);(A1)
14;(10,0,0,mazda,stig,all-terrain,28,100%,);(A1)
15;(6,0,0,mazda,stig,all-terrain,25,100%,);(A1)
16;(9,0,0,mazda,stig,all-terrain,24,100%,);(A1)
17;(9,0,1,mazda,stig,all-terrain,22,100%,);(A1)
19;(6,0,0,mazda,stig,all-terrain,20,100%,);(A1)
20;(10,0,0,mazda,stig,all-terrain,19,100%,);(A1)
21;(11,0,0,mazda,stig,all-terrain,16,100%,);(A1)
22;(15,0,0,mazda,stig,all-terrain,13,100%,);(A1)
23;(16,0,0,mazda,stig,all-terrain,10,100%,);(A1)
24;(16,0,1,mazda,stig,all-terrain,8,100%,);(A1)
26;(18,0,0,mazda,stig,all-terrain,6,100%,);(A1)
27;(18,0,1,mazda,stig,all-terrain,5,100%,);(A1)
29;(23,0,0,mazda,stig,all-terrain,4,100%,);(A1)
30;(25,0,0,mazda,stig,all-terrain,1,100%,);(A1)
31;(22,0,0,mazda,stig,all-terrain,0,100%,);(A1)
32;(22,0,0,ferarri,crash,all-terrain,50,100%,);(A7:ferarri:crash)
33;(24,0,0,ferarri,crash,all-terrain,46,100%,);(A1)
34;(24,1,0,ferarri,crash,all-terrain,42,100%,);(A1)
35;(26,0,0,ferarri,crash,all-terrain,38,100%,);(A1)
36;(22,0,0,ferarri,crash,all-terrain,34,100%,);(A1)
37;(24,0,0,ferarri,crash,all-terrain,30,100%,);(A1)
38;(24,1,0,ferarri,crash,all-terrain,26,100%,);(A1)
39;(24,1,0,ferarri,crash,all-terrain,22,100%,);(A1)
40;(28,0,0,ferarri,crash,all-terrain,18,100%,);(A1)
41;(24,0,0,ferarri,crash,all-terrain,13,100%,);(A1)
42;(24,1,0,ferarri,crash,all-terrain,9,100%,);(A1)
43;(24,1,0,ferarri,crash,all-terrain,5,100%,);(A1)
44;(24,1,0,ferarri,crash,all-terrain,1,100%,);(A1)
45;(24,0,0,toyota,stig,all-terrain,50,100%,);(A7:toyota:stig)
46;(24,1,0,toyota,stig,all-terrain,47,100%,);(A1)
47;(24,1,0,toyota,stig,all-terrain,44,100%,);(A1)
48;(24,1,0,toyota,stig,all-terrain,41,100%,);(A1)
49;(26,0,0,toyota,stig,all-terrain,38,100%,);(A1)
50;(28,0,0,toyota,stig,all-terrain,37,100%,);(A1)
51;(27,0,0,toyota,stig,all-terrain,34,100%,);(A1)
52;(27,1,0,toyota,stig,all-terrain,32,100%,);(A1)
53;(27,1,0,toyota,stig,all-terrain,30,100%,);(A1)
54;(29,0,0,toyota,stig,all-terrain,28,100%,);(A1)
55;(30,0,0,toyota,stig,all-terrain,23,100%,);(A1)
Goal reached, you bloody ripper!
