start;(1,0,0,mazda,stig,all-terrain,50,100%,);(n.a.)
0;(1,0,0,mazda,stig,all-terrain,48,100%,);(A1)
1;(1,0,0,mazda,stig,all-terrain,46,100%,);(A1)
2;(1,0,0,mazda,stig,all-terrain,44,100%,);(A1)
3;(1,0,0,mazda,stig,all-terrain,42,100%,);(A1)
4;(1,0,0,mazda,stig,all-terrain,40,100%,);(A1)
5;(4,0,0,mazda,stig,all-terrain,38,100%,);(A1)
6;(4,0,0,mazda,stig,all-terrain,35,100%,);(A1)
7;(4,0,0,mazda,stig,all-terrain,32,100%,);(A1)
8;(4,0,0,mazda,stig,all-terrain,29,100%,);(A1)
9;(4,0,0,mazda,stig,all-terrain,26,100%,);(A1)
10;(4,0,0,mazda,stig,all-terrain,23,100%,);(A1)
11;(7,0,0,mazda,stig,all-terrain,20,100%,);(A1)
12;(7,0,0,mazda,stig,all-terrain,19,100%,);(A1)
13;(7,1,0,mazda,stig,all-terrain,18,100%,);(A1)
14;(7,1,0,mazda,stig,all-terrain,17,100%,);(A1)
15;(7,1,0,mazda,stig,all-terrain,16,100%,);(A1)
16;(7,0,0,mazda,stig,all-terrain,15,100%,);(A1)
17;(7,0,0,mazda,stig,all-terrain,14,100%,);(A1)
18;(7,0,0,mazda,stig,all-terrain,13,100%,);(A1)
19;(7,0,0,mazda,stig,all-terrain,12,100%,);(A1)
20;(7,0,0,mazda,stig,all-terrain,11,100%,);(A1)
21;(10,0,0,mazda,stig,all-terrain,10,100%,);(A1)
22;(10,1,0,mazda,stig,all-terrain,9,100%,);(A1)
23;(10,1,0,mazda,stig,all-terrain,8,100%,);(A1)
24;(10,0,0,mazda,stig,all-terrain,7,100%,);(A1)
25;(10,0,0,mazda,stig,all-terrain,6,100%,);(A1)
26;(10,0,0,mazda,stig,all-terrain,5,100%,);(A1)
27;(10,0,0,mazda,stig,all-terrain,4,100%,);(A1)
28;(10,0,0,mazda,stig,all-terrain,3,100%,);(A1)
29;(10,0,0,mazda,stig,all-terrain,2,100%,);(A1)
30;(10,0,0,mazda,stig,all-terrain,1,100%,);(A1)
31;(10,0,0,mazda,stig,all-terrain,0,100%,);(A1)
32;(10,0,0,mazda,stig,mud,0,100%,);(A4:mud)
33;(10,0,0,go-kart,stig,mud,50,100%,);(A2:go-kart)
34;(11,0,0,go-kart,stig,mud,49,100%,);(A1)
35;(11,1,0,go-kart,stig,mud,47,100%,);(A1)
36;(10,0,0,go-kart,stig,mud,45,100%,);(A1)
37;(9,0,0,go-kart,stig,mud,44,100%,);(A1)
38;(9,1,0,go-kart,stig,mud,39,100%,);(A1)
39;(14,0,0,go-kart,stig,mud,34,100%,);(A1)
40;(10,0,0,go-kart,stig,mud,33,100%,);(A1)
41;(9,0,0,go-kart,stig,mud,32,100%,);(A1)
42;(8,0,0,go-kart,stig,mud,27,100%,);(A1)
43;(8,1,0,go-kart,stig,mud,23,100%,);(A1)
44;(8,1,0,go-kart,stig,mud,19,100%,);(A1)
45;(7,0,0,go-kart,stig,mud,15,100%,);(A1)
46;(6,0,0,go-kart,stig,mud,13,100%,);(A1)
47;(11,0,0,go-kart,stig,mud,8,100%,);(A1)
48;(10,0,0,go-kart,stig,mud,6,100%,);(A1)
49;(15,0,0,go-kart,stig,mud,5,100%,);(A1)
50;(20,0,0,go-kart,stig,mud,0,100%,);(A1)
51;(20,0,0,mazda,schumacher,mud,50,100%,);(A7:mazda:schumacher)
52;(20,0,1,mazda,schumacher,mud,48,100%,);(A1)
53;(25,0,0,mazda,schumacher,mud,46,100%,);(A1)
54;(30,0,0,mazda,schumacher,mud,45,100%,);(A1)
Goal reached, you bloody ripper!
